리뷰,별점
"영상미만 괜찮은 편...!!예고편만 보고 판타지, 스릴러 이런거 생각하시면뒤통수 맞으십니다. 보고 나왔는데 장르를 모르겠어요.ㅋㅋㅋㅋ",5
천하장사 웅남이... 멋있다~~,9
"이게 2004년 작품이라니 진짜 너무 멋있습니다~2023년을 사는 지금 밖에는 미세먼지와 황사…. 코로나는 막지났지만 삭막한 사회…프리다이빙 배운 저로써는 해녀들의 다이빙 장면도 너무 멋있고 맘껏 들이키는 공기도 너무 부럽고, 순수한 남녀의 사랑도 너무 예쁘네요. 가끔은 60~70년도로 휴가다녀 오고 싶습니다~ 참고로 저는 80",10
너무 웃겨ㅋㅋㅋ,10
웅남이로 부모님께 효도함,10
속도감있게 진행되어 지루할 새 없이 좋았습니다,10
신고,9
"뭐 이런,.,.,.,.",1
신고,1
많은 생각을 하도록 만드는 영화,10
배우들의 연기는 절대 깔수없다,10
오랫만에 맘껏 웃어봤네요,10
스필버그 감독님의 시네마천국,9
인생 최고의 명작,10
인생 최고의 명작,10
"갖잖게 텃세 부리는 놈들은 엄마 젖빨고 있는 놈들이냐?박성광은 태어나길 개그맨으로 태어나고, 영화계는 천상계냐?웃기는 짬뽕같은 젖빠는 놈들...!",10
돈...아깝다....,1
실화 바탕 이라 감동적입니다,10
토니 타키타니,9
ㅎㅎ~~~,10
저희 고모는 이거 너무 웃기다고 하시네요 10대분들은 조금 난해할수 있음ㅋ,9
콜린 퍼렐과 브랜단 글리슨 연기가 일품이었던 영화,10
다음 작품에서는 더 발전한 모습 기대하겠습니다,5
"1.비웃을준비해서 보고 깎아내리면   할수없는일2,재밌다고웃는사람의 웃음까지   깎아내릴 순 없는일3, 사람마다 웃음 코드가 다름4.코믹영화에서 기대할것만 기대   하면 됨",8
엄근진들 천지네... 부모님들께 보여드렸는데 아주 만족하시네요,10
어쨌거나 젤 흥미진진,7
에 가는 내내 얼굴에 미소가...~~,10
댓글알바가 많네. 재밌더만 왜그러냐 ~ 남잘되는거 못보는사람들인가.,10
웅남이 좌석점유율1위 가즈아~,10
이요올 이종석 연기,10
작은 불씨로 시작했으나 결국 앙상하게 남아버린 관계의 잔해,9
편하게 웃다가 왔네요.,10
"오랜만에 마블다운 마블 영화 본 느낌이었습니다. 다만, 세계최강 빌런이라고 했는데,,,,개미보다 약한,,,",9
박성광감독에 대해서 비평하는건 알겠는데 영화는 괜찮다,10
친구들하고 봤는데 주말에 부모님 보여드리려구요ㅎ,10
일본 애들의  생각은  참 독특합니다.,7
감정이 급발진하는데 공감하기 힘듦,7
"평론가로서는 아쉬운 영화일 수 있습니다. 그러나 그것이 감독 출신에 대한 문제로 번지면 안됩니다. 감독이 관련 대학을 나왔음에도 망하는 작품이 있고, 전혀 다른 대학을 나왔음에도 성공하는 작품이 있으니 판단 근거가 될 수 없어요..왜 누군가의 도전에 색안경을 끼신 채 평론하시는 지 모르겠네요..기대 안하고 간 웅남이는 꽤 재미있었습니다. 심오한 의미를 담고 있는 영화라기 보다는그냥 가볍게 즐기는 영화입니다. 딱 영화 <육사오>가 생각나는 영화예요.",8
공감대 형성 억지로 하지맙시다영화보면서 피곤해집니다,4
꽁트를 길게 붙이면 지루하다,1
명작이라고 하는데 애써 명작일거라고느껴지지 않는,4
연기자들 연기좋고 내용 생각보다 신선하고물론 결말이 완벽하진않지만요즘영화들 보고나면 머야?이느낌드는데 웅남이는 뉴스로든 에피소드로든 해소해주어서 좋았음 연기자들뽑은것도 감독실력아닌가란생각?너무 개그맨이라고 띄워줄것도없지만무시부터할일은 아니라고봄 나름볼만했던영화.,10
웅남이 보다 말봉이가 좋더라ㅋ,10
초딩이 수준영화나이 30넘으면 절대ㅠ보지 말고여친 이랑 가면 욕먹음 ㅡ...ㅡ,2
기대보다 너무 재미났어요^^ 대박나길...,10
이 영화를 욕하는자 클레멘타인을 욕하는자,10
영화판이 만만한가?기대를 안하고봐도 이건 아닌거 같다,1
액션씬은 볼만합니다.웃음은 크케 웃긴 부분보다는 소소한 피식정도의 웃음 포인트 입니다.간만에 피식정도의 웃음이 있던 영화였습니다.박성웅의 연대기 입니다. 간만에 영화 보면서 웃음이 많았네요.,8
오랜만에 웃고 왔습니다. 박성광 감독님 화이팅!!!,10
별기대없이봤는데 감독센스가 있네요넘웃겨요~눈물나게 웃긴장면도있었어요~같이본 일행도 재밌데요~ㅋㅋ  박성웅 이이경넘좋아요~,10
욕 하는 사람들 무엇때문인지 이해 안감..난 재밋기만한데,10
남자로써 진짜 ㄱ1 ㅐ 멋있다. 우리조국을 지켜주시는 분들께 다시한번 감사드립니다,10
굿,7
재밋다ㅋ..,10
신고,2
어마어마한 영화임. 티비에서 하는거 보고 잠을 못 잤었슴. 이거 확장한 버젼이 마루이비디오임.,10
"지진에 대한 이해가 높으면 감동적이예요. 작화가 아름다워요,",9
재미있는니 없느니 말도 많아 도대체 어떤건가 봤는데 너무 재밌었음.보길 정말 잘한거 같다.ㅋ,10
"일본의 입장에서 영화를 감상하니 더 몰입감 있게 영화를 볼 수 있었습니다. 스즈메의 여정 또한 지진이 한 번씩 스쳐간 지역을 지나가고 그 곳에서 묵묵히 살아가고 있는 사람들의 모습을 그려내고자 한 감독의 마음이 이해가 갔습니다. 다만, 사람들과의 만남이 너무 개연성이 없고 억지스러운 느낌이 들어 조금 아쉬운 느낌이 들었습니다. 그럼에도 정말 뛰어난 작화와 적절한 OST, 캐릭터의 매력 등 애니메이션으로써는 훌륭한 부분들이 많다고 생각합니다. 나중에 OTT에 나오면 한 번더 보고 싶지만 전작 너의 이름은 처럼 영화관에서 다시보고 싶다는 생각이 들지는 않습니다.",7
신고,10
슬램덩크 본 적 한 번도 없고 그저 운동을 좋아해서 보러 갔는데온 몸에 전율이 돋을 정도로 좋은 영화였습니다~~,10
최악최악최악최악최악,2
말봉이 너무 웃김ㅋㅋㅋ,10
신고,8
너무 웃겨ㅋㅋㅋ,10
"좋은 배우들 데려다놓고, 영 어설픈 코믹극 찍어놨는데...이건 뭐 웃기지도 않고, 하도 오랫만에 이런 막장 코믹극을 봐서 그런지, 신선?하기는 하네.그런데, 진짜 내 시간과 돈이 너무 아깝다.",2
일본 애니 극장판 보면 30분 안에 바로 잠 드는 편인데 이 영화는 끝까지 잘 봤네요 개연성이 부족하긴 하지만 감동이 너무 심해서 그런 거 따질 겨를이 없었음… 우리나라 가뭄 방지에 크게 기여하고 오는 길입니다,10
매우 감각적이지만 이를 받쳐주지 못하는 서사,6
개그콘서트 실사버전 영화화,6
원작 보신 분들이면 잘 만들었다고는 못하실 것 같은데 …아예 한국풍으로 바꾸지 이상하게 감성 섞여가지고 ..,5
평점 알바들 대단하다 이 영화 딱 한마디로 정리해준다 엄복동보다 못한 저급 영화,1
재밋네요 .,10
공감이 잘 되지는 않았고 내용도 약간 난해했어요 너의이름은 이랑 자꾸 비교하게 되는데 그런급의 영화는 아닌거 같아요 너의이름은 감독 좋아하시면 보세요 로드무비같은 유쾌한 영화네요,8
오달수까지 나온다.,1
거장의 조심스러웠던 고백,8
박성광 도뢌나 그냥 개콘으로나 돌아가라 예능하는 것 봐도 그냥 그게 딱 당신 수준,1
신고,10
^^,10
어릴 떄 봤던 심형래 영화 생각났음 개연성 이런거 생각하지말고 그냥 노잼 영화,1
정말 재밌습니다 스포일러하면 재미가 덜해질수도 있어서 영화 내용은 적지 않겠습니다,10
아래 시비거는 사람들은 뭐하는 사람들이지? 실제로 영화보고나서 하는말도 아닌거 같은데.. ㅡ.ㅡ 거르고 들으면 될듯 실제 본 사람들평만 보고~ 평소에 박성광이나 출연배우들 팬도 아니었지만 평점 쓰려고 왔다가 시비거는 평때문에 괜히 눈살 찌푸려지네요 평점이라는 말 뜻 몰라요? 영화에 대한걸 얘기해야죠 ㅉㅉ,10
.,10
후유증은 문닫기요 ㅋㅋ 짱 잼,10
뭘 말하고 싶은건지~~~~,1
전종서  배우의  연기 너무 좋았어요,10
유치하면서 웃겼어요 ㅋ,8
신고,9
여주 팬티를 보는 순간 모든 개차반은 용서가 된다.. 그런 팬티 스타일이 나오는 여친을 만나야겠단 꿈을 준 영화,10
개그맨일때도 재미없던 사람인데영화라고 달라? ㅋㅋ,1
코믹하면서도 잔잔한 감동을주며보는내내 웃음이끊이지 않게시간가는줄 모르게 멋진영화 잘봤습니다.,10
아직도....별점 알바가 있나보네요..,1
두 배우의 연기가 좋았다,7
역시 평론가 평은 믿을게 못되네요. 우울한 시기에 잘봤습니다.,10
실컷 웃고 나옴요즘 웃을일도 없었는데~~,10
"영화를 좋아하는 1인으로서, 현재 상영작 다봤는데 그 중에서 웅남이가 제일 좋았음.",8
진짜 내 애니 중에 1등임 꼭보세요,10
돈받고 보세요 아니면 보지마세요,1
신고,10
"배꼽빼는줄 정말 재미가 있어요그렇다고요, 극장가서 볼 예정이에요",10
박성광씨 힘내요~응원합니다~!!작품 평점을 떠나서그만큼 준비하고 도전한만큼탑배우들 캐스팅과  극장스크린으로개봉했다는것  대단한성과~앞으로 힘내서 잘되길 응원해요.,10
저뿐만 아니라 같이간 친구들도 다 재밌다고 하는거 보니까 대부분 호불호없이 다 재밌게 볼 수 있는 영화였습니당:),10
내돈 내고 봤으면 돈아까워서 몇일을 후회했을듯!!!!시간 아까울정도로 재미없어요 ㅠㅠ,1
왠만하면 잘보는데 인생27년살면서 돈이 너무아깝다,1
비틀리기 좋은 현실이라더 세상을 바라보는 따스한 눈동자,8
개봉 당시엔 관심이 없다가 최근 바둑에 관심이 있어 챙겨봤는데 긴장감 최고네요!,10
혐오와 미움의 세상에서,10
박성광 의외더라구요 영화감독으로도 자리잡을것같은데요?!ㅎㅎ,9
김다미 스타일의 연기가 인상깊고 한국감성은 아니었지만 잔잔하게 재밌게 볼 수 있었다,9
중간까진 재밌었는데..ㅜㅜ,3
웃으면서 재미있게 봤습니다.,8
영화를 찍은게 아니라 뮤직비디오를 찍음,3
개인적으로 신카이마코토 감독 중에 제일 별로라고 생각함.특히 인물들 간의 관계와 배경설명이 애매모호함.,6
여기 평점 알바돌리나?,1
신고,10
반일 국뽕은 정신병이며 이 영화는 개띵작입니다,10
스토리 대박이다. 이 판을 어떻게 짰지?,10
기대앙하고봤는데 꿀잼 ㅋㅋㅋ,6
진짜 간만에 찐으로 웃음이 나오는 영화를 본거 같습니다기대이상이구 볼만합니다 정말 ㅎㅎ가족 친구 연인끼리 보기 아주 좋숩돠,10
거슬리는 게 한 둘이 아니라면 감독의 잘못이다,4
초중반까지 재밌구 후반 마무리가 좀 아쉬운데 킬링타임용으로 괜찮아요~실제 7점 정도? 인데 억까들이 많아서 9점 주고 가요,9
재미를 떠나서 편집이 너무 어수선해서 뭘 봤는지 모르겠음,4
"전형적인 중국자본 영화.. 한마디로 서양사람들의 동양판타지가 곳곳에 물들어있음..중국무술, 전통의상, 경극, 가족애.. 난해하려고 쥐어짜서 만든 예술영화 같으나...우리가 늘상 알고 있는 중국식 코믹뻥카액션 그 이상도 이하도 아님... 액션영화도 스토리가 있어야 되는데...세금영수증...딸내미 레즈..뭔가 메시지가 없음 인물간의 연결성이 많이 떨어짐.. ㅋㅋ 관람객 평점이 이리도 후한건 .수상빨 같음..암튼 혼란하고 정신없고 메시지 없음...난해함을 예술적으로 극적으로 끌어올린 영화...",4
두사람의 자연스러운 연기와 마스크 조합이 잘 어우러져 특별한 로맨스영화로 기억될것 같아요,8
신고,10
일생일대의 돈이 아까운 영화 !쓰레기같은영화!,2
재밌었어요 많이 웃고나옴^^,10
여운이 오래가는 영화.무의미한 전쟁의 참혹함을 느낄 수 있었다.,10
나만 당할 순 없지 후후....,10
사랑해 엽기적인 그녀 전지현 !!!! 내 인생 최고의 영화 중 하나,10
오랜만에 실컷웃었네요  와이프랑  너무잼있게 잘봤습니다~~^^,10
Redemption(속량)과 Salvation(구원)의 시작의 장엄함이여.,10
아이가 재미있게 봤습니다.~ ^^,8
최악이에여 절대 버지 마세요 ㅜㅠㅠ,4
서치1을 만족스럽게 봐서 과연 후속작이 전편만 할까 했는데 아주 만족하면서 봤습니다. 속도가 빨라서 영화가 짧게 느껴져요,10
"부분 부분 코믹 부분을 두는 건 좋았으나, 끝에 뭐죠?! 밥 먹다가 밥상 엎는 이 기분...",3
그럭저럭 볼만 했어요 추천은 못 드려요 개인 취향인 거 같아요,6
영화는 인생과 다르다. 예술에는 생각보다 많은 고통이 따른다. 그럼에도 예술(영화)을 해야하는 이유도 분명히 있다,10
감독의 문제 아닌가? 이 좋은 스토리를 이렇게 망치다니. 배경음악은 무슨 상영내내 나와서 배우들 대사보다 음악 감상만한듯,1
귀칼 이후 최대 감동..,10
다큐같은 영화 그녀의 OOO기력,9
별로임 머가먼지 무슨뜻인지?,6
재미없어요. 요근래 본 영화 중에 최악이었음. 평론가가 싸가지는 없어도 가장 정확한 표현을 한것이란걸 영화 보는 내내 깨달았습니다.,1
배우들의 연기와 박성웅의 싸움액션언기는 굿.하지만 억지 웃음을 자아내려는 코믹은 글쌔...,6
"감독이 개그맨인게 뭐가 중요한가 상영시간동안 즐거웠으면 됐지 ㅋ 개그가 젊은이 감성은 아니라 조조영화였는데 영화관에 있던 30,40대들은 빵빵터졌음 ㅋ 박성광님 안 망했으면 좋겠어요 ㅋ 다음 영화도 기대됩니다",10
영화관보단 집에서 보면 딱이다,10
재밌던데요 왜 재미없다는거죠,10
잔잔하게 잘 만든 영화예요어쩐지 한국 느낌보다는 다른 느낌이라 했더니 리메이크네요,10
재미. 그리 없는데 관객수 많네요영화가 잼있다면 관객수 폭발하겠음,6
두배우 너무 좋아해서 딸이랑 봤지만.너무 밋밋한 스토리... 그리 감동적이지 않은데 알바들이 댓글 많이 다셨어요..,6
와우…평점 보고 괜찮나 싶어서 갔는데..,2
영상미는 좋았으나 자동차타고가다노래트는장면에서 몰입도 깨짐,6
감동 명작! 어쩜 이재명이를 저렇게완벽하게 똑같이 만들어냈네!명대사: 이야~ 우리 시장님은 절때로 믿으면 안되는 눈을 가지셨다,10
중간중간 다소 지루할때도 있으나 전체적으로는 밝고 즐겁고 신난다.,8
다른분야에 도전하는 사람을 본인 기대에 못 미친다고 험한말 쏟아내는 저급 평론가들에게 이 평점을 바칩니다.,10
40대 중반인데..생각만해도 설레인다..^^,10
인생영화임..ㄹㅇ 너무 재밌음,10
지금은 유럽 전체와 거의 맞먹는 대단한 과학기술력을 가진 일본이 독일과 이탈리아 등에 20년을 뒤쳐져 빌빌대며 배우던 시절. 작위적인 시한부 러브스토리로 제로센의 설계자를 미화하고 극화하지만 그저 지루하고 재미 없을뿐. 걍 개노잼. 일본 수꼴 보수가 봐도 재미없을듯 애니 자체가,4
일본인이 아니면 공감하기 어려운 파트가 존재함에도 연출과 영상미 만으로도 극장에서 볼 가치가 있었다,9
진짜 ㅋㅋ숨넘어가게 웃었어요 같이간 지인이랑 둘다 중간중간 코믹소재때문에 넘 웃겼어요. 박성광개그맨 아니고 감독님으로 다시 보이네요  별생각 기대없이 갔다가 훅 들어온 영화입니다. 배우들 연기가 넘 탄탄해요,10
한마디만 하겠습니다. 꼭보세요 마지막장면에서 진짜 감동이 벅차올라요 진짜 꼭보세요,10
신카이 마코토 감독님 사랑합니다,10
일본 애니 좋아하는 사람들은 충분히 만족할 만한 영화입니다. 1번 뿐만 아니라 2번 가서 봐도 괜찮을 듯 싶네요.,10
꼭 봐야함 슬프고 재밌고 감동적,9
최고의 수면용 ASMR,1
영화를 전부 이해하기엔 내가 부족한것 같다.,10
아 감독이 박성광인걸 모르고 봤네여.. 알았으면 안봤을 텐데요.. 그냥 예고편이 전부임.. 참고로 내 기준은 샤잠 머리아픔 스즈메 괜찮음.. 슬램덩크 보다가 나옴.. 이거 그냥 걸러도 되는 영화라고 봅니다. 쩝.. 미안해여 감독님 스탭 여러분..,1
레전설 레전설 여전하다,10
그당시 10대들의 서글픔이 지금도 서글픔으로 기억된다는 건.. 진지하고 섬세하다.유경아가 매력적.,9
음…이런..엄…음..아이고..,2
신고,10
그냥 영화 초반부터 예상한대로 영화가 흘러가서 딱히 재밌거나 몰입되는 부분이 없었음 영화 끝나고 생각해 볼만한 의미도 없었음 쇼라는걸 알아챈 후 트루먼의 반응이 공감이 안됨 소재는 참신해서 더 재밌게 만들 수 있었을 것 같은데 스토리가 없음,4
에혀 이게 영화냐?ㅡㅜ,2
폭력성과 선정성 빼고드니로의 연기엔리오 모리꼬네 음악이 다한 영화영화음악을 위한 영화,8
돈 돌려주세요 개짜증 개콘이 왜망한지 알수있었음,2
박성광의 사회생활 성적표,1
우리가 누리고 있는 자유는 공짜가 아니다,10
이런 명작을 평점이 ㅋㅋㅋ,10
"내돈주고 본게 아니라 다행이지만... 기대하지 않고봐서  만족은 함. 여기는 댓글 알바들풀음??  절대 8점대 평점이 아닌데...  잘 줘야  5,6점??",5
"한 나라의 국민으로 태어나 조국을 위해 죽는것,이것이 참된 영광이니                                                                                              -영웅 안중근-",10
인상깊었지만 이해하기 어려웠어요,8
좋아요 재미있고 가볍게 웃을수있는영화,10
신고,10
신고,10
좋아요ㅎ 박성광 짱짱응원해요ㅎ,10
"1. 어차피 기대치가 없으니 그냥 빵빵 터진다. 개연성 없이 그냥 명배우들이 개콘 나와서 특별무대를 연출하고 그것을 영상으로 만들어 영화를 만들었다 생각하면 편하다. 한국 영화에 뭔 기대를 하겠는가?  2.  쌀을  국민의 피같은 세금 처들여서 , 국가가 비싸게 구매해서 쌀 가격 시장가를 강제로 높게 고정 시켜놓는 양곡 수매제도처럼 스크린 쿼터 제도는 한국 영화를 보호하는게 아니고 점점 질 낮은 한국영화를 양산하는 철밥통 . 금으로 된 밥상에 불과한 시스템이 되었다. 3. 개인적으로는  영화감독이나 출연 배우들이 영화 ( 혹은 드라마) 개봉 전에  TV 예능  . 인터뷰 나와서 손익분기점을 언급하거나 흘리듯 이야기 하면서 이 영화  망하면 내 인생도 망한다는 식으로 말하는 것 , 혹은  몇 백만 관객이 들어오면 어떠한 이벤트를 한다는 식으로 말하는 영화나  특정 시청률 ( 예 -  시청율 20프로 넘으면 춤을 추고 유투브에 올리겠다 등 )  을 기준으로 이벤트 하겠다고 말하는 것을 제일 싫어한다. 4.  관객이 고생해서 번 내 돈 주고 보는 상업 영화이고 보기 싫은 광고 . PPL 범벅인 것을 참고 보는 드라마이다.  5.  판사는 판결문으로 검사는 공소장으로 변호사는 변론서로 형사는 수갑으로 말하는 것이다. 영화 나 드라마가 자신 없으면 입 다물고 있어라.  입 열고 징징대면 더 보기 싫어지니까.  걸그룹. 보이그룹 제작자도 마찬가지임. 6. 유튜브 몇 분짜리 영상도 길다고 유튜브 숏츠 가 만들어지는 세상이다. 1시간 30분짜리 영화에  서사 . 감동 . 재미 . 눈물 . 놀람 .  슬픔 등 다양한 것들을 넣으려 해봐야 관객 대부분이 집중력이 떨어지고 ㅂㅅ같은 이해력을 가지고 있어서 뭐가 뭔지 따라가지를 못한다.  마동석의 1인  원맨쑈 영화나  5인의 형사가 나와서 티키타카로 웃기는 코믹쇼 영화가 먹히는 이유가 그것이다.  미각을 상실한 자들에게는 화려한 코스 요리를 제공해도 비빔밥을 먹은 것처럼 잡탕밥이 되어버리는 것과 같다.",1
딱히 나쁘지 않은데 평점이 낮네. 8~9점이라 생각하지만 지금 평점이 낮으니 난 10점. 다른 댓글들 보면 싫어하시는분들 많은것 같은데 저는 재밌게 잘 봄,10
무엇을 말하려는지 주제의식은 확실한것같은데 내가이해하기엔 좀 벅찼다.몇번은 다시봐야 이해가 될것같다.너무기대를 많이한것도있고.그리고 여우조연상은 제이미 리커티스보단 스테파니 수에게 주는게 맞지않았을까,6
장난하냐? 티켓값 내는 관객을 아주 우습게 아네,1
극장에서 틀 영화가 아님. 명절 특집 드라마 정도. 어처구니가 없어서 웃음이 나옴. 멧돼지가 무슨 인형인줄. 여자들은 좋아함. 참신한 소재인데 감독 역량 부족으로 못 살림.,2
신고,10
제 인생영화인 페밀리맨 리메이크한  영화네요감사합니다,10
"고딩때 그냥 별 생각없이 봤던 작품. 그땐 그냥 재밌네, 감동적이네, 잘 만들었네 이렇게만 생각했다. 30대중반인 지금 이게 얼마나 수작이었는지 다시 생각해본다. 그리고 다른방향으로 오랜시간 지나고 다시 생각해보니 말아톤 초원이 2005년 1월 개봉, 타짜 고니 2006년 9월 개봉",10
왜 이렇게 알바들은 말투가 비슷하냐 이런 저능아가 감독하니까 한국영화판 망하는거다,1
이 부분은 실화 아니겠지? 불복종 했다고 시키근 대로 나이 든 남자 무릎 위에 엎드려 엉덩이를 얻어 맞고 강간까지 당하고... 진짜 어이가 없다.,10
여주 극암이라 여주 뚝배기 깨질때가 젤 속시원하더라,10
응원하고 기대하고봤는데...,1
스크린쿼터제와 영화계의 좌편향이 망쳐놓은 요즘시대에 다시는 나오기 힘든 대작임,10
이문식 조차도 발연기처럼 느껴지는 영화,2
여운이 많이 남는 영화…..,10
고딩시절 생각나게하는 영화^^,9
수십만원짜리 고급 오마카세용 재료들을 그냥 고추장만 넣고 비빈내용... 재미도 없고 개연도 없고... 할말하않...,1
기대안하고 봣는데  잼있내요간만에  많이웃고  나왓습니다,10
졸작주인공패거리는단서 하나하나 풀면서 스텝업하는데이안은 다건너뛰고 따라옴ㅋㅋ,4
이 띵작을 평점하나만 믿고 안봤었다니 참놔,10
"""알 이즈 웰, 알 이즈 웰""",10
박근형 배우님 오래 오래 건강하셔서 계속 작품에서 자주 보고싶어요,10
너무 작위적이지 않나 하는...,5
"솔직히 담긴 의미따위는 잘 모르겠고, 프랑스 영화계의 뉴웨이브를 일으킬만한 새로운 감독이 탄생한것은 확실한듯",8
권상우 연기가 잘 어울리네요. 스토리도 좋았어요.,10
전립선이 찌릿찌릿해집니다!!,8
당시 이영화를 봤을때는 계속 되는 위기 속에 한줄기 빛처럼 동료가 살아서 합류하고 끝까지 땅을 파내서 목표를 이루고 빌어먹을 비상플랜결과로 인한 마지막 한명이 핵폭탄 스위치를 누르는 그 과정이 너무나 잔혹하면서도 감동적인 연출이 머리속에서 떠나질 않았다. 그후에 나오는 ost는 너무나 감동적이며 실금을 울리며 피날레를 제대로 녹여든 음악적 요소도 훌륭했다.,10
개연성이고 뭐고 1시간 울다 나왔다. 생과 사에 대한 묘사가 마음을 울리는 영화,10
플롯은 좋은데 빙빙빙. 캐스팅도 미스 같고 연출도 미스. 시나리오 판권 사서 헐리웃에서 만들면 수작이 나올 듯,8
새로운 도전이라고 해서 보는 이들까지 관대해질 필요는 없다.,3
김현주님 연기랑 cg가 정말 좋았습니다,10
"왜 이렇게 인기많고 평점 높은지 솔직히 모르겠어요... 개연성도 그닥이고 약간 무섭기도 하고 감독이 늘 비슷한 서사임. 남녀학생이 재난 막으려는 영화, 근데 남녀가 서로를 위해 그렇게까지 하려는 이유가 이해안됌",1
"드라마에 비해서 아쉬운 스토리,,, 후반부 너무 급전개 그렇지만 상친자라서 또보고싶음 지금 예매해야지",7
그냥 공짜면 볼정도ㅡㅡ돈주고는 보지마세요ㅎ,1
기대를 하고 보면 약간 아쉬울 수도 있겠지만 아무 생각없이 가볍게 보기 너무 좋습니다! 연기자들 연기 너무 좋았구 생각보다 잼있고 코찡긋에 마지막 엔딩의 웃음포인트까지 강추입니다!,10
영살미보음어나연요미,10
"스필버그의 자전적 스토리라고 해서 화려한 성과와 명감독으로의 성장에 집중하기보단, 천재성을 가릴만큼 인생의 힘든 굴곡과 , 지독한 현실과 맞짱뜨는 담담한 이야기 구성에 감탄했음. 힘든 역경을 헤쳐나온 감독님의 작품들이 영롱하게 빛날수있는 이유를 말해주는듯한 자서전같은 영화였다",9
대작인데 난 ㅡ외이제보나요,10
그냥 개그콘서트 한코너를 1시간넘는 영화로 보는 느낌,6
일단 재밌다. 정의구현에서 테러리스트로 변해가는건 유감.,10
두 배우가 다 매력있게 나와서 맘에 드네요 잔잔하면서도 따듯하고 힐링되는 영화입니다 청량한 느낌도 맘에 들어 좋았어요,7
믿고보는 신카이 감독 작품 ㅎㅎㅎ,10
이용철 한줄평이 넘나 강력해서 어떻길래 저런평을 하나 하고 일부러 함 봤는데 이런~ 그냥 웃기는 것만 있는게 아니고 탄탄한 스토리하며 배우들 연기 쩐다~ 오랜만에 실컷 웃다가 왔다 진짜 개그는 이용철 평론가님이 하신거 같다 덕분에 잼난 영화 보고 왔습니다.,10
1편의 뛰어난 아이디어를 2편에서도 진부하지 않게 잘 사용한 작품이네요 재미있어요,8
전반적으로 매끄러운 오락물이고 영상미도 뛰어나지만 작품만의 특색없어 아쉽네요..,7
연기는 좋지만 배우가 너무 비슷한 이미지로 소모되는 듯한 느낌이 강했고 전체적으로 설정이나 스토리라인이 안이하단 느낌이 좀 들었네요 아쉬워요,6
말로 형용할 순 없지만 누구나 한번즘은 느껴봤을 법한 감정선,8
"재미, 반전, 감동 있는 영화. 러닝타임이 2시간으로 길지만 재밌게 볼 수 있는 영화:)",10
그냥 나갈까 고민하는 중에내 뒤에 앉은 아줌마들은 뭐가 그리 재미있는지빵빵 터지더만...,6
"초반 문닫는 장면에서 영상미, 음악, 연출 이 삼박자가 어우려져서 되게 좋다고 느꼈는데 가면 갈수록 반복되고 개연성 제로의 스토리... 이해가지 않는 감정선 때문에 지루했습니다. 일단 남녀 주인공이 뭐 눈물 흘리고 찾아다닐 정도의 사랑이 발전하는 무언가가 있었나? 싶기도 하고 하얀 고양이 요석은 뽑아서 나타났다고 해도 검은고양이는 뭐 어디서 갑자기 나온건지? 세계관이나 부가적인 설명이 너무 부족해서 띠용하더라고요. 그리고 너무 극적으로 여주가 도움을 많이 받아서 아무리 만화라지만 좀... 가는곳마다 누굴만남, 도와줌, 문 발견! 닫음.이게 내용 끝입니다... 흠... 전 잘 모르겠네요 영상미는 네 좋았습니다",4
당분간은 손절하자. 안되겠다니,2
"원작 보세요 원작... 감정선을 따라가야 하는 영화인데 그 부분이 원작보다 많이 약합니다. 캐릭터에게 공감이 덜 된달까요. 주연배우 간의 케미스트리도 그닥이에요.. 배우 개별적으론 김다미는 기대에 못미쳤고 의외로 전소니가 돋보였던. 원작을 노트북으로 본 이후 여운이 진하고 감동받아서 이번 소울메이트는 극장에서 본건데, 돈아깝네요ㅠ 그냥 원작만 보시는걸 추천해요",6
"아니 영화보고나서 평점 준거임 ? 알바 실화냐 .. 시간가는줄 모르고 봤음 . 연기나 연출이나 대박임 . 평점 보지말고 봐야지 이제 , 초딩들이 쓴 평점따위",10
그냥 모든게 한숨만 나오는 영화다.진짜 형편없다.이런걸 별반개도 주기싫을 만큼 졸작..,1
평론가들 텃세 지리네..,10
힐링이 필요할때 꺼내먹어요,10
보통은 리메이크가 그 감동을 그대로 전달하기가 쉽지않은데이 영화는 우리 나라 감성에 맞게 각색도 적당히 잘 했고  무엇보다 두 주연 배우들이 그 감성을 너무 잘 살린 영화인거 같습니다간만에 가슴 먹먹하게 진하게 다가오는 영화였습니다,9
국뽕만 있지 그 이상 이하도 아닌것같다.,3
방송의 힘. 나까지 보게 만들었음,1
뮤지컬 영화를 잘 안보는 편인데 그냥 누가 추천해줘서 봤다가 많이 울었습니다 . . 다시금 이 나라가 그냥 하늘에서 뚝 떨어진 나라가 아니란 것을 가슴 깊이 기억하며...  이런 시국에 한국인이라면 꼭 보셨으면 좋겠습니다.,10
신고,8
"""어벤져스""가 되고 싶은 착한 아이들과 ""타노스""가 되고 싶은 건지 알 수 없는 엉성한 신들의 좌충우돌. 번갯불에 얼렁뚱땅 콩 볶은 듯한 플롯에 가벼움과 유치함은 덤이지만, DCEU의 미워할 수 없는 재간둥이 히어로로 자리매김한 것은 인정.",5
두 여배우의 상반된 매력이 좋았어요,10
꿈과 현실 사이에서 고민하고 있는 사람들이 보면 좋을 영화,9
걍 산만하고 지루하고 유치함,4
기대가 조금 컸나 봅니다..,5
